파일명,주요 업무,자격요건,우대사항
job/DE/sources/jobkorea/txt/0006b0ee-d129-426a-b3cb-88c662417242.txt,"담당업무
ㆍ홈 / 기업 네트워크 구축 및 유지보수지원분야
ㆍ전문적인 컴퓨터엔지니어로 성장하고 싶으신분
ㆍ주거지 인근권역에서 출장방문 수리가 가능하신분","자격요건
컴퓨터수리및판매
( ○○명 )","우대사항
ㆍ친절하고 긍정적인 마인드를 소유하신 분 
ㆍ도전 정신을 가지고 새로운 기술을 배우고 싶으신 분
ㆍ자유로운 근무시간을 선호하면서 자율적으로 책임감 있게 일할 수 있는 분"
job/DE/sources/jobkorea/txt/0035fbbe-8ac4-473a-a72e-624b646bf8a6.txt,"담당업무
ㆍRDBMS(관계형) 운영/관리
ㆍDataWarehouse 운영/관리
ㆍSQL 분석 및 튜닝
ㆍData Pipeline 관리 (ETL 배치 / 외부파일 DB적재 등)
ㆍDataLakeHouse 운영/관리
ㆍ고객사 상주 근무 (장기간)","자격요건
Data Engineer 채용",
job/DE/sources/jobkorea/txt/0071bc15-83c0-4d56-a083-71ed2374471a.txt,"담당업무
ㆍ데이터최적화팀은 아래 업무를 해주실 분을 찾고 있습니다.
  - 다양한 데이터를 가장 효과적으로 처리 할수 있는 방안을 제시합니다.  
  - 분산처리에 적합하게 코드를 튜닝하고 파이프라인을 설계 합니다.  
  - 솔루션 도입을 검토하고 최적의 솔루션을 찾아 문제를 해결합니다.","자격요건
데이터최적화팀
데이터 엔지니어","우대사항
ㆍ최적의 결과를 도출하는것에 관심이 있으신 분 
ㆍ새로운 언어나 기술에 대한 거부감이 없고, 필요에 따라 적절한 기술 스택을 선택할 수 있으신 분 
ㆍ데이터 분석 기술 및 도구에 대한 높은 관심과 이해를 보유하신 분 
ㆍ긍정적이고 다양한 부서와 원활한 커뮤니케이션이 가능하신 분 
ㆍTableau 나 파워BI 활용 경험이 있으신 분"
job/DE/sources/jobkorea/txt/00763064-c58a-416a-b7ae-6276678c7cf5.txt,"담당업무
ㆍKubernetes 기반 Private/Public Cloud 구축 및 기술 지원
ㆍDocker 기반의 가상화 구축 및 기술 지원","자격요건
Cloud Native 엔지니어 
( ○명 )

* 근무지: 서울 강남 
필수요건 
ㆍ학력 : 전문학사 이상
ㆍ경력 : 관련분야에서 3년 이상의 경력","우대사항
ㆍPublic Cloud(AWS, GCP, Azure) 자격증 소지자
ㆍCKA, CKAD 자격증 소지자
ㆍPython에 대한 이해 및 개발이 가능한 분
ㆍAPM 및 기타 Opensource에 대한 이해를 가지고 있는 분
ㆍ영문 IT 기술 문서 이해에 어려움이 없는 분
ㆍDB(RDBMS) DML/DDL에 대한 지식이 있는 분
ㆍ컴퓨터 공학 또는 전산학 관련 분야 전공자"
job/DE/sources/jobkorea/txt/008563c3-2802-4dba-a7ff-c2d7f2278ecf.txt,"담당업무
ㆍ데이터센터 건설현장 MEP(전기, 기계) 총괄
  - 전기/기계/소방/통신 시공 및 안전 관리 업무
  - 공사/품질/원가/일정/비용관리 등 공무 역할 수행
  - 설계 산출물 검토(Engineering report,도면,산출서,내역서,시방서 등) 및 시공 SHOP 관리
  - 각 공정별 하도급사 투입인력, 공사 품질 및 일정 조정 및 관리,CM/감리,설계사,발주처 대응
  - 고객 유치를 위한 기술 제안 지원 및 VE(Value Engineering) 수행","자격요건
DC 구축수행",우대
job/DE/sources/jobkorea/txt/00dc0d3b-1891-41a3-a776-7adc248919f6.txt,담당업무,"자격요건 및 근무요건 학력 근무지
공정기술Eng
(경력)
가공 공정 개선 담당
공정 Issue 대응 및 수율개선
가공 공정 관리 담당
신기술 도입 및 기술 레포팅
관련 업무 경력 7년 이상
기계가공 엔지니어링 전공자(CNC, MCT 등)
대졸
이상 아산
Utility 설비
담당자
(신입/경력)
(계약직)
Utility 설비 담당자
아산2공장 시설관리
(전기, 공조, 냉동, 배기, 초순수, 고압가스,
컴프레셔, 폐수, 냉각수 등)
전기설비/Utility 설비 관리 및 공사관리 업무
시설물 자료 및 데이터 관리
공조냉동기계 산업기사 이상 보유자
관련 업무 유경험자(5년 이상)
문서작성(PPT, 엑셀) 능숙한 자
향후 정규직 전환 검토
전졸
이상 아산
환경 관리자
(경력)
환경(수질, 대기) 관리자 모집
수질,대기, 화학물질, 폐기물 등
환경관리 정보 및 법규 검토, 환통법 대응,
자가측정대행 관리, 온실가스 규제 등
관련 업무 경력 3년 이상
수질, 대기 기사(산업기사) 자격증 소지자
통합환경관리법, 화학사고 예방 관리 계획서
작성 등 유경험자 우대
대졸
이상 아산
구매 관리 담당자
(신입)
구매관리 담당자
원자재/부자재 구매, 가격협의, 발주,
납기 관리, 재고관리
신규업체발굴, 시장대응 및 분석,
원자재/부자재별 구매전략 수립
협력 업체관리 등
중국어 가능자
경영, 무역 관련 전공자
경력자의 경우 반도체 소재 원자재/부자재
취급 경험자
전졸
이상 아산
해외 영업 담당자
(신입)
해외 영업 담당자
고객사 CRM
(판매계획 및 매출관리, 양산품질대응)
개발품 계획 및 내부 부서 협의
비즈니스 영어 가능자(Opic IH, 토스 LV 7)
반도체 제조업 유경험자 우대
대졸
이상 기흥
제품설계
(도면/모델링)
담당자
(신입/경력)
도면 및 모델링 담당자
제품 설계 수행
도면/모델링 작성 및 검토
시뮬레이션 수행
설계관련 경력 3~5년
기계/반도체/신소재/화학 등 이공계 전공자
S/W : CAD/CAM/CAE
자격 : 기계설계산업기사/기사
CAD/CAM/CAE 자격증 보유자 우대
영어 또는 일어 가능자 우대
대졸
이상 천안
생산 교대직
(신입)
반도체 소재가공 제조업무
CNC/MCT Si 소재 가공 operator
WireSaw, Band Saw, Rotary operator
DSG/Polishing operator
기계, 전자, 가공 등에 관심이 높은 자
제조업 이해도가 높은 자
교대 근무 경험자 우대
고졸,
전졸 천안,
아산
반도체 품질 검사원
비 접촉식 측정기
접촉식 3차원 측정기
외관검사 및 제품포장
클린룸 업무 가능자(방진복 착용)
계측기 활용 업무 경험자 우대
검사 업무 및 교대 근무 경험자 우대
공통
고용형태 : 정규직(단, 전 부문 수습기간(3개월)이며, 부적합시 수습탈락 가능)
급여조건 : 회사내규에 따름/면접시 협의
교대직 : 3조2교대/4근2휴, 근무 가능자(주간 08:00~20:00, 야간 20:00~익일08:00)
사무직 : 주 40시간(08:00~17:00, 주 5일근무제)
기숙사 : 직원 전용 기숙사 운용(충남 천안시 서북구 서부대로 475-1 쌍용동 소재)
면접비 지급
구직활동의 교통비용 부담을 최소화하기 위해 소정의 면접비를 지급하고 있음
복리후생
복지몰 사이트 운영 :
명절(설, 추석)선물,
생일축하 및 각종 이벤트 시
포인트 지급 검진&Health :
건강검진, 진료비지원
(본인/배우자/18세미만자녀)
100만원 한도내 실비 지급 출산 및 학자금지원 :
축하금 및 출산용품 지급,
자녀학자금(초, 중, 고, 대)지원 사내식당운영 :
조식, 중식, 석식, 야식
(사내식당 운영_단, 천안/
아산/판교사업장에 한함,
기흥 중식비 제공) 단체보험 :
4대보험(국민, 건강, 고용, 산재)
외 임직원 단체보험 각종 수당 및 시상제도 운영 :
직책수당, 자격선임수당,
제안시상금, 근속자시상,
우수사원시상 등 근무환경 :
휴게실(멀티자판기 또는
카페운영), 아이스크림(무제한),
휴양시설 제공 유연근무제 및
외출형 연차제도 운영 :
시차출퇴근제 운영
(사무직에 한함), 연차를
시간단위로 나누어 사용 사외 기숙사 운영 :
직원 전용 기숙사 제공
(천안/아산에 한함, 원룸형
2인실, 투룸형 4인실) 교통/출퇴근 :
통근버스 운행
(천안/아산사업장) 사내대출제도 운영 :
자격요건 충족 시
최대 3천만원 사내동호회 :
축구동호회, 배드민턴동호회,
낚시동호회, 볼링동호회,
골프동호회",
job/DE/sources/jobkorea/txt/00f57742-54ad-4565-be06-aa424fe8df58.txt,"담당업무
ㆍ전사 관점의 중장기 전략 및 신사업 추진 전략 수립
  - 시장, 기술 트렌드 분석을 통한 Insight 도출 및 신사업 기회 발굴
  - 전사 사업·기술 전략 로드맵 수립 및 사업 모델 도출
  - 회사 전략과 사업 우선순위에 대한 전사 Communication 및 경영진 의사결정 지원","자격요건
사업전략",우대
job/DE/sources/jobkorea/txt/01028313-ef66-484f-a8c2-cd3307c59479.txt,"담당업무
ㆍ디지털 기획, 플랫폼 서비스기획, 데이터 분석, AI(인공지능), IT, 정보보호 등 디지털/IT 유관
    본부부서 OJT 및 배치 본부부서 업무 지원 등","자격요건
디지털/IT","우대사항
ㆍ디지털/IT 직무 관련 전공자(학사 이상)
ㆍ디지털/IT 직무 관련 자격증 보유자(우대 자격증 당사 지원서 작성 페이지 참고)
ㆍ우리은행·금융보안원 모의해킹 경진대회(WooriCON)수상자
ㆍ우리 FIS 아카데미(FISA)수료생

공통 우대사항
ㆍ공인 외국어(영어)성적 우수자
ㆍ[장애인고용촉진 및 직업재활법]에 의한 장애인(상이등급이 기재된 국가유공자증 소지자 포함)
ㆍ[국가 유공자 등 예우 및 지원에 관한 법률]에 의한 취업 지원 대상자"
job/DE/sources/jobkorea/txt/01042cbf-e8db-4d37-b733-fd8a6ce5d810.txt,"직무상세
ㆍHandling 성능 연구를 위한 예측 기술 및 Tool 개발 
ㆍ차량 및 타이어 모델 기반 해석 기술 개발
ㆍSuper Car 전용 타이어 개발 
  - Sports car, Super car segment Tire 프로젝트 참여
ㆍ실차 성능 검증을 위한 Nurburgring, Nardo 및 전세계 Proving ground 평가
ㆍProffesional Driver 동승 후 해석 및 예측 기술 개발 검증 
ㆍDriving simulator 기반 Driver model 연구 
ㆍ자동차 OEM Technical Meeting","자격요건
 《 차량/타이어 동역학 》
Handling 성능 연구 &
해석 Tool 개발
직무상세
ㆍHandling 성능 연구를 위한 예측 기술 및 Tool 개발 
ㆍ차량 및 타이어 모델 기반 해석 기술 개발
ㆍSuper Car 전용 타이어 개발 
  - Sports car, Super car segment Tire 프로젝트 참여
ㆍ실차 성능 검증을 위한 Nurburgring, Nardo 및 전세계 Proving ground 평가
ㆍProffesional Driver 동승 후 해석 및 예측 기술 개발 검증 
ㆍDriving simulator 기반 Driver model 연구 
ㆍ자동차 OEM Technical Meeting

지원자격
ㆍ[학사 이상] 동역학/차량동역학/차량제어/해석/다물체동역학 관련 전공자 
ㆍ관련 연구 경험자 (하기 연구 관련 경험)
  - MBSE 기반 연구 경험자
  - FE (Abaqus) 해석 연구 경험자 
  - CarSim, CarMaker, VI-CRT등 차량동역학 Simulation 연구 경험자 
  - 차량동역학 Simulation용 샤시모델링 유 경험자 
  - MF-tyre, F-Tire등 타이어 동역학 연구 경력자
  - 성능 예측 기반 설계 전개 유 경험자 
  - Driving simulator 및 HiLS 장비 기반 연구 경험자","우대사항
ㆍ관련 전공의 석사/박사 학위자 우대
ㆍ차량동역학, 제어 관련 논문 등재 경험자"
job/DE/sources/jobkorea/txt/0210c4dc-4cbb-409b-a087-b245cff06da6.txt,,,
job/DE/sources/jobkorea/txt/02345358-132f-44f6-ae25-833dd3c13b39.txt,"담당업무
ㆍ모바일 앱, 웹 서비스 QA","자격요건
[IT]
QA 엔지니어","우대사항
ㆍ배포 주기가 빠른 서비스에 맞추어 적합한 QA Process를 제한 개선한 경험
ㆍQA 리딩 경험 및 대규모 프로젝트 리스크 관리/배포 경험
ㆍJira, Slack, Confluence 등의 툴 및 활용 경험"
